route_id,stop_id,frequency_x,frequency_y,freq_diff,stop_lat,stop_lon
100001,400,16.8,1.8555555555555554,14.944444444444445,47.6144447,-122.344513
100023,400,3.4111111110000003,3.0277777777777772,0.38333333322222307,47.6144447,-122.344513
100028,400,9.8708333325,7.161111111111111,2.7097222213888887,47.6144447,-122.344513
100030,400,4.9799999999999995,5.3566666666666665,-0.3766666666666669,47.6144447,-122.344513
100031,400,5.3133333334,5.273333333333333,0.04000000006666671,47.6144447,-122.344513
100039,400,3.9,4.26,-0.3599999999999999,47.6144447,-122.344513
100044,400,13.0,4.4,8.6,47.6144447,-122.344513
100062,400,8.0,4.15,3.8499999999999996,47.6144447,-122.344513
100071,400,13.13333333,3.8,9.333333329999999,47.6144447,-122.344513
100089,400,3.3333333334,3.066666666666667,0.2666666667333333,47.6144447,-122.344513
100101,400,3.8466666668,3.2866666666666666,0.5600000001333334,47.6144447,-122.344513
100132,400,9.6,4.125,5.475,47.6144447,-122.344513
100161,400,9.2166666668,11.233333333333333,-2.0166666665333324,47.6144447,-122.344513
100169,400,16.158333335000002,8.891666666666666,7.266666668333336,47.6144447,-122.344513
100173,400,6.573333333400001,3.569444444444444,3.0038888889555566,47.6144447,-122.344513
100194,400,0.0,6.0,-6.0,47.6144447,-122.344513
100219,400,3.9400000000000004,3.647222222222222,0.29277777777777825,47.6144447,-122.344513
100229,400,0.0,3.9388888888888887,-3.9388888888888887,47.6144447,-122.344513
100238,400,9.5,3.725,5.775,47.6144447,-122.344513
100242,400,8.883333335,6.5,2.3833333349999997,47.6144447,-122.344513
100246,400,6.066666665,6.5,-0.4333333350000004,47.6144447,-122.344513
102581,400,2.2466666668000004,2.0433333333333334,0.20333333346666693,47.6144447,-122.344513
102615,400,2.0466666667999998,2.42,-0.3733333332000002,47.6144447,-122.344513
100001,420,16.8,1.8222222222222222,14.977777777777778,47.6123734,-122.341019
100023,420,3.408333333333333,3.022222222222222,0.38611111111111107,47.6123734,-122.341019
100028,420,9.8708333325,7.172222222222222,2.6986111102777786,47.6123734,-122.341019
100030,420,4.9766666668,5.366666666666666,-0.38999999986666634,47.6123734,-122.341019
100031,420,5.3800000002,5.333333333333333,0.04666666686666687,47.6123734,-122.341019
100039,420,3.9366666666,4.26,-0.3233333333999999,47.6123734,-122.341019
100044,420,13.0,4.4,8.6,47.6123734,-122.341019
100062,420,8.0,4.15,3.8499999999999996,47.6123734,-122.341019
100071,420,13.13333333,3.8,9.333333329999999,47.6123734,-122.341019
100089,420,3.3333333334,3.0633333333333335,0.2700000000666667,47.6123734,-122.341019
100101,420,3.7800000002000003,3.1933333333333334,0.5866666668666669,47.6123734,-122.341019
100132,420,9.6,4.125,5.475,47.6123734,-122.341019
100161,420,9.2133333334,6.043333333333334,3.1700000000666657,47.6123734,-122.341019
100169,420,16.133333335,8.866666666666667,7.2666666683333325,47.6123734,-122.341019
100173,420,6.566666666800001,3.5666666666666664,3.0000000001333342,47.6123734,-122.341019
100194,420,0.0,6.0,-6.0,47.6123734,-122.341019
100219,420,3.9333333332000002,3.641666666666667,0.2916666665333332,47.6123734,-122.341019
